index	genre	filename	year	old_index	source1	source2	sentence1	sentence2	score	split	sent_s1	sent_s2
35	main-captions	MSRvid	2012test	0597	none	none	A dog is jumping on a trampoline.	A boy is playing a guitar.	0.000	train	axerophthol A dog comprise is jumping along on axerophthol a trampoline .	A A boy boy live is playact playing vitamin_A antiophthalmic_factor guitar guitar .
36	main-captions	MSRvid	2012test	0612	none	none	A man is jumping rope outside.	A woman is slicing a cucumber.	0.000	train	A man constitute is ascend climb_up rope outside .	A woman comprise is slice a cuke cucumber .
37	main-captions	MSRvid	2012test	0613	none	none	A person is slicing some onions.	A hamster is singing.	0.000	train	A individual person is slit roughly some onions .	A hamster hamster make_up singing .
38	main-captions	MSRvid	2012test	0614	none	none	A woman holds a kangaroo.	A man in a hat sings a song.	0.000	train	ampere A woman give angstrom_unit a kangaroo kangaroo .	A man IN in angstrom_unit angstrom_unit lid hat babble_out sings angstrom_unit song .
39	main-captions	MSRvid	2012test	0626	none	none	A person is peeling a potato.	A cat is licking a small bottle.	0.000	train	amp A someone somebody follow is strip peeling a potato .	axerophthol CT cat is drub licking a small feeding_bottle bottle .
40	main-captions	MSRvid	2012test	0627	none	none	A cat is jumping into a box.	A young man is talking to a leaf.	0.000	train	vitamin_A A CT computerized_axial_tomography live is jumping into axerophthol a box .	axerophthol A Lester_Willis_Young young humans man live is talk peach to a leaf .
41	main-captions	MSRvid	2012test	0634	none	none	A woman slices a lemon.	A man is talking into a microphone.	0.000	train	A char charwoman slices adenine a lemon .	deoxyadenosine_monophosphate A man cost is talking into adenine adenine mike microphone .
42	main-captions	MSRvid	2012test	0638	none	none	A man sharpens a pencil using a knife.	A woman is dancing in the rain.	0.000	train	A man sharpens a pencil employ antiophthalmic_factor a knife .	ampere woman live is dance dancing in the rain .
43	main-captions	MSRvid	2012test	0639	none	none	Plastic toys are floating in water.	The ladies are performing a dance.	0.000	train	plastic Plastic toys live are floating Hoosier_State In urine water .	The Lady ladies are performing ampere dance .
44	main-captions	MSRvid	2012test	0643	none	none	A man is tying his shoe.	A dog is riding on a bicyclists shoulders.	0.000	train	vitamin_A human man equal is tying his shoe .	A dog exist is tantalise riding on on axerophthol vitamin_A bicyclists shoulders .
45	main-captions	MSRvid	2012test	0646	none	none	A dog is running on the ground.	A girl is tapping her finger nails.	0.000	train	vitamin_A A chase dog be is running on on the ground ground .	A little_girl is tapping tapping her finger finger sweep_through nails .
46	main-captions	MSRvid	2012test	0651	none	none	A woman is mincing some garlic.	A person is cleaning a disk.	0.000	train	ampere A charwoman make_up is mincing mincing some Allium_sativum garlic .	A someone person travel_along follow cleaning cleaning a phonograph_record disk .
47	main-captions	MSRvid	2012test	0681	none	none	A person checks some rice pudding.	A horse is running.	0.000	train	ampere A person contain checks some Elmer_Reizenstein Elmer_Rice pud pudding .	deoxyadenosine_monophosphate buck horse is black_market running .
48	main-captions	MSRvid	2012test	0684	none	none	A woman is stirring two eggs in a glass bowl.	A young girl is singing on a stage.	0.000	train	group_A A charwoman woman constitute is soul-stirring two egg eggs in adenine a spyglass glass bowl .	A young girl equalise equal singing along on vitamin_A a stage .
49	main-captions	MSRvid	2012test	0685	none	none	The man is playing the drums.	A man pours cleaner in his sink.	0.000	train	The valet_de_chambre man exist is calculate bet the drums .	A Isle_of_Man man rain_cats_and_dogs blank cleaner Indiana in his sink .
50	main-captions	MSRvid	2012test	0689	none	none	A boy is crawling into a dog house.	A cat is playing on the floor.	0.000	train	A boy boy constitute is crawling into a wiener wienerwurst house .	A vomit cat is fiddle playing on the deck .
51	main-captions	MSRvid	2012test	0694	none	none	A young man is singing and playing the piano.	The man is writing a letter.	0.200	train	angstrom A Cy_Young young human_race man is vocalizing singing and dally playing the very_softly pianissimo .	The man equal is drop_a_line writing adenylic_acid amp letter .
52	main-captions	MSRvid	2012test	0696	none	none	A girl is playing a piano.	A boy is doing push ups.	0.000	train	A daughter girl is toy playing vitamin_A a piano .	angstrom_unit A male_child boy constitute doing thrust push ups .
53	main-captions	MSRvid	2012test	0700	none	none	Someone is holding a hedgehog.	A onion is being sliced.	0.000	train	someone person is contain holding antiophthalmic_factor a Erinaceus_europeaeus hedgehog .	angstrom_unit A onion is represent sliced .
54	main-captions	MSRvid	2012test	0705	none	none	A cat is drinking some water.	A truck is going down a hill.	0.000	train	A quat cat plant constitute imbibe drinking more_or_less some water_supply water .	A motortruck truck cost is going down_pat mastered a hill .
55	main-captions	MSRvid	2012test	0706	none	none	A person is putting salt and pepper on a piece of pork.	A youngster is sitting on a piano.	0.000	train	A soul is arrange putting salt and pepper on angstrom_unit a piece of pork .	ampere A kid youngster represent is sit sit_down on on amp a piano .
56	main-captions	MSRvid	2012test	0707	none	none	The man sat in his chair and stared.	The little girl is putting her hair into a pony tail.	0.000	train	The man sat in his electric_chair chair and star star .	The little girl constitute is place putting her hair into amp trot pony chase tail .
57	main-captions	MSRvid	2012test	0731	none	none	A cat is licking himself.	A man is slicing a white onion with a mandolin slicer.	0.000	train	A cat is clobber himself .	axerophthol axerophthol man is slice_up slicing a white-hot white onion with axerophthol a mandolin slicer .
58	main-captions	MSRvid	2012test	0740	none	none	A woman is adding sauce to some food.	A person is cutting leaves.	0.200	train	A adult_female woman is tally adding sauce sauce to some food .	angstrom A soul person is trim cutting folio .
59	main-captions	MSRvid	2012test	0744	none	none	Three children are eating their food.	The deer jumped over the fence.	0.000	train	Three children equal are exhaust run_through their food .	The deer deer jump_off jumped over the fencing .
60	main-captions	MSRvid	2012test	0747	none	none	A person is slicing an onion.	A cat is pooping into a toilet.	0.000	train	A mortal person is slicing Associate_in_Nursing AN onion .	A true_cat cat constitute pooping into a commode toilet .
61	main-captions	MSRvid	2012test	0748	none	none	A badger is digging in the dirt.	A man is moving large rocks.	0.000	train	a A badger is apprehend in the dirt .	A valet_de_chambre man comprise is make_a_motion boastfully large rocks .
62	main-captions	MSRvid	2012train	0071	none	none	A man is smoking.	A man is mixing.	0.200	train	amp A homo human_beings is fume smoking .	type_A type_A man is mixing .
63	main-captions	MSRvid	2012train	0122	none	none	A car is parking.	A cat is playing.	0.000	train	type_A A cable_car car consist comprise parking parking .	A throw_up cat incarnate embody playing .
64	main-captions	MSRvid	2012train	0153	none	none	A woman is swimming.	A man is singing.	0.067	train	A char woman is ice-cream_soda float .	deoxyadenosine_monophosphate A man personify is sing .
65	main-captions	MSRvid	2012train	0180	none	none	A person is making a bed.	A person is eating at a table.	0.200	train	A person be personify making a love bed .	angstrom_unit A person comprise is consume at a table .
66	main-captions	MSRvid	2012train	0188	none	none	The woman is smoking.	The man is walking.	0.200	train	The womanhood fair_sex is smoking .	The human_beings is take_the_air walking .
67	main-captions	MSRvid	2012train	0199	none	none	A woman is swimming.	A man is spitting.	0.000	train	ampere A cleaning_lady woman cost swimming .	vitamin_A A serviceman is ptyalise spitting .
68	main-captions	MSRvid	2012train	0314	none	none	A man is being put into an abulance.	A man is pouring pasta onto a plate.	0.000	train	A humankind constitute is being put into AN an abulance .	A humankind man comprise is rain_cats_and_dogs pouring pasta pasta onto antiophthalmic_factor axerophthol plate .
69	main-captions	MSRvid	2012train	0356	none	none	The man is pushing the van.	The woman is singing.	0.000	train	The Man man personify is drive the van .	The char woman make_up comprise spill_the_beans singing .
70	main-captions	MSRvid	2012train	0366	none	none	A man is dancing.	A rat is running.	0.000	train	A man is dancing .	A rat beryllium be running .
71	main-captions	MSRvid	2012train	0368	none	none	A man is playing guitar.	A woman is peeling a tuber.	0.000	train	A man is meet playing guitar .	A woman follow is peeling A group_A genus_Tuber tuber .
72	main-captions	MSRvid	2012train	0370	none	none	A woman is riding a horse.	A man is running on rope.	0.000	train	A woman make_up is riding a buck .	angstrom_unit angstrom_unit man is running on rope .
73	main-captions	MSRvid	2012train	0372	none	none	A woman is peeling an orange.	A man is playing a flute.	0.000	train	A cleaning_lady woman is peeling Associate_in_Nursing an orange .	vitamin_A A human exist is playing a flute .
74	main-captions	MSRvid	2012train	0378	none	none	A woman is scraping a carrot.	A man is striking clay pots.	0.000	train	adenosine_monophosphate amp char woman is scraping type_A a carrot .	axerophthol A gentleman man consist comprise striking clay pots .
75	main-captions	MSRvid	2012train	0384	none	none	The man danced in the diner.	The bomb exploded in the desert.	0.000	train	The man danced column_inch inch the dining_car diner .	The flunk flush_it exploded in the desert .
76	main-captions	MSRvid	2012train	0421	none	none	The girl is riding the horse.	The girl is spraying the plants with water.	0.200	train	The daughter girl is riding the horse_cavalry horse .	The girl female_child is spraying the set plants with water .
77	main-captions	MSRvid	2012train	0472	none	none	The two dogs were in the pen.	The cowboy rode his horse in the desert.	0.000	train	The two two dogs make_up were In in the pen .	The cowboy cowboy rode his horse in the abandon forsake .
78	main-captions	MSRvid	2012train	0477	none	none	A man is opening a box using a knife.	A man is playing a guitar.	0.000	train	antiophthalmic_factor A man exist is scuttle opening A a box_seat box using victimization angstrom_unit a knife .	type_A A man constitute bet playing adenine a guitar guitar .
79	main-captions	MSRvid	2012train	0479	none	none	A man is eating.	A woman is rock climbing.	0.000	train	group_A group_A man man is eating .	ampere A woman is tilt climbing .
80	main-captions	MSRvid	2012train	0488	none	none	Someone is cutting a circle out of a pink sheet of paper.	Someone is pouring tomato sauce into a pot of meat.	0.200	train	someone Someone be is crop cut_back a circle out of a pink sheet of newspaper paper .	Someone is pelt rain_buckets tomato sauce sauce into a plenty pot of meat .
81	main-captions	MSRvid	2012train	0489	none	none	A man is playing flute.	A man is petting a tied up dog.	0.200	train	A A human_race human_race is represent playing flute .	adenine A man is fondling adenine a tied up dog .
82	main-captions	MSRvid	2012train	0491	none	none	A girl is eating a cupcake.	A man is playing a trumpet.	0.000	train	A girl cost eating deoxyadenosine_monophosphate a cupcake .	ampere A worldwide world personify is playing angstrom a trumpet .
83	main-captions	MSRvid	2012train	0493	none	none	A man is buttering bread.	A woman is ridint a horse.	0.000	train	ampere A homo constitute is butter buttering shekels bread .	A type_A charwoman woman embody is ridint a horse_cavalry horse .
84	main-captions	MSRvid	2012train	0517	none	none	A woman is in the rain.	A car is driving along the road.	0.000	train	amp woman is in the rainwater rain .	A car is driving along the road .
85	main-captions	MSRvid	2012train	0518	none	none	A woman is hitting a man.	A man is holding a slow loris.	0.000	train	A adult_female woman be make_up hitting a world man .	a A world is adjudge holding a decelerate slow loris .
86	main-captions	MSRvid	2012train	0519	none	none	A woman is riding an elephant.	A man is lifting himself.	0.000	train	amp A char woman personify riding riding AN an elephant .	ampere human_race man cost is sneak lifting himself .
87	main-captions	MSRvid	2012train	0532	none	none	A woman is seasoning a piece of meat.	A man is loading a rifle with bullets.	0.000	train	deoxyadenosine_monophosphate A adult_female woman is seasoning a piece of centre meat .	A man equal is loading a ransack with bullets .
88	main-captions	MSRvid	2012train	0541	none	none	A rabbi is talking.	A man is walking on a rope.	0.000	train	A deoxyadenosine_monophosphate Rabbi rabbi is peach talking .	A man follow is walk walking on type_A a lasso rope .
89	main-captions	MSRvid	2012train	0542	none	none	A man rides a horse.	A woman rubs a baby's leg.	0.000	train	group_A A serviceman man rides axerophthol a dub knight .	amp A woman snag rubs angstrom baby 's leg .
90	main-captions	MSRvid	2012train	0543	none	none	A man is playing guitar.	Smeone is laying down.	0.000	train	axerophthol axerophthol man is playing guitar .	Smeone embody is laying popping pop .
91	main-captions	MSRvid	2012train	0545	none	none	A man  is driving a car.	A woman dips a shrimp in batter.	0.000	train	axerophthol homo man exist is labour driving a railcar car .	A cleaning_woman dips a peewee shrimp in knock_about batter .
92	main-captions	MSRvid	2012train	0547	none	none	A dog is barking.	A jet is flying.	0.231	train	A bounder dog is bark bark .	A jet-black jet incorporate comprise flying .
93	main-captions	MSRvid	2012train	0549	none	none	A monkey is walking on a bed.	A man is riding a horse.	0.000	train	vitamin_A A monkey personify walking on amp a bed .	type_A military_personnel man is hinge_upon riding A a gymnastic_horse horse .
94	main-captions	MSRvid	2012train	0553	none	none	A man is frying a tortilla.	A person is performing a card trick.	0.000	train	vitamin_A A man personify is frying sauteing A a tortilla tortilla .	axerophthol A person mortal is performing a plug-in card play_tricks trick .
95	main-captions	MSRvid	2012train	0571	none	none	A man is speaking on a phone.	A panda bear is chewing on a stick.	0.000	train	a A man cost oral_presentation speaking on on a earpiece phone .	A red_panda panda bear exist is chewing on A ampere stick .
96	main-captions	MSRvid	2012train	0583	none	none	A young woman is playing the flute.	A woman is washing off the top of a freezer.	0.000	train	angstrom A offspring young charwoman woman is play dally the flute .	A adenine char woman cost is dampen washing off the tiptop top of a a Deepfreeze freezer .
97	main-captions	MSRvid	2012train	0588	none	none	A person is slicing an onion.	A solenodon is walking along the ground.	0.000	train	A person is fade slicing an onion_plant onion .	vitamin_A vitamin_A solenodon be is walking on along the dig ground .
98	main-captions	MSRvid	2012train	0602	none	none	A man is cutting grass.	A masked man sings.	0.000	train	A valet_de_chambre gentleman's_gentleman cost is piercing cutting grass .	A masked humankind man blab .
99	main-captions	MSRvid	2012train	0603	none	none	A man is cutting grass.	A clown is singing.	0.000	train	A man follow is thinning cutting tell_on shop .	angstrom_unit angstrom_unit clown_around clown is singing .
100	main-captions	MSRvid	2012train	0612	none	none	A woman is cutting scallions.	A woman falls on a sand castle.	0.000	train	deoxyadenosine_monophosphate A fair_sex woman live cutting Allium_porrum scallions .	ampere A adult_female woman falls on amp a sand castle .
101	main-captions	MSRvid	2012train	0613	none	none	A man is slam dunking a ball.	A woman is slicing some onions.	0.000	train	ampere ampere man is slam douse dunking a ball .	A A charwoman woman represent is slicing close_to some onion onion .
102	main-captions	MSRvid	2012train	0614	none	none	A machine is sharpening a pencil.	A girl is riding a bicycle.	0.000	train	deoxyadenosine_monophosphate machine live is taper sharpening a pencil .	A axerophthol girl girl is riding adenine a bicycle .
103	main-captions	MSRvid	2012train	0615	none	none	A woman is brushing her feet.	The sun is rising behind trees.	0.000	train	a A cleaning_woman woman is sweep brushing her feet .	The sun is upraise resurrect behind Tree trees .
104	main-captions	MSRvid	2012train	0622	none	none	A woman cuts a pink loaf with a knife.	A man is playing a guitar.	0.118	train	A cleaning_lady woman foreshorten cuts A a pinkish pinkish loaf with angstrom a knife .	A gentleman is flirt playing a guitar .
105	main-captions	MSRvid	2012train	0626	none	none	A girl is reading a newspaper.	A chef is peeling a potato.	0.000	train	axerophthol A girl girl is reading angstrom newspaper .	A chef is peeling peeling adenine a spud potato .
106	main-captions	MSRvid	2012train	0637	none	none	A monkey is walking through the water.	A guy is playing a trumpet.	0.000	train	A rapscallion is walk-to walking through the H2O water .	A jest_at guy embody is roleplay roleplay a trumpet .
107	main-captions	MSRvid	2012train	0638	none	none	A woman is putting on makeup.	A band is singing.	0.000	train	A woman is putting on constitution makeup .	deoxyadenosine_monophosphate band cost is let_the_cat_out_of_the_bag singing .
108	main-captions	MSRvid	2012train	0640	none	none	A dog is driving a car.	A guy is talking into a microphone.	0.000	train	A frankfurter wiener is labour driving antiophthalmic_factor a car .	antiophthalmic_factor A guy is talking into vitamin_A A microphone microphone .
109	main-captions	MSRvid	2012train	0659	none	none	A boy is cutting paper.	A man is loading a rifle.	0.000	train	type_A A boy is snub ignore paper .	angstrom_unit man follow is loading antiophthalmic_factor a reave rifle .
110	main-captions	MSRvid	2012train	0661	none	none	The man talked on the telephone.	Girls are walking on the stage.	0.000	train	The Man man talked on the ring .	Girls are walking along on the stage stage .
111	main-captions	MSRvid	2012train	0665	none	none	An animal is walking.	A woman is applying eye makeup.	0.000	train	An animal constitute walk walking .	type_A group_A woman is lend_oneself applying eye constitution makeup .
112	main-captions	MSRvid	2012train	0686	none	none	The man is playing the guitar.	The cat cleaned his face with his paw.	0.000	train	The man embody is performing the guitar guitar .	The cat clean cleaned his face_up face_up with his manus paw .
113	main-captions	MSRvid	2012train	0696	none	none	A man is adding oil to a pot.	A dog is catching a fish in a river.	0.200	train	A man man personify personify bring adding fossil_oil oil to adenine a pot .	angstrom angstrom dog constitute is catching a fish in a river river .
114	main-captions	MSRvid	2012train	0704	none	none	Someoen is cooking onions.	A man is swinging nunchucks.	0.000	train	Someoen constitute is cooking Allium_cepa .	angstrom_unit man is swinging nunchucks .
115	main-captions	MSRvid	2012train	0723	none	none	A woman puts ingredients in a whisked egg.	A man pours gasoline.	0.000	train	A A fair_sex fair_sex puts ingredients in a whisked egg .	adenine adenine man pours petrol gasoline .
116	main-captions	MSRvid	2012train	0727	none	none	A man is playing the guitar.	A person is slicing a meat into pieces.	0.000	train	A Man personify is wager playing the guitar .	antiophthalmic_factor A person comprise is slice slicing amp a nitty-gritty meat into piece_of_music musical_composition .
117	main-captions	MSRvid	2012train	0729	none	none	A man is opening a package containing headphones.	A woman is riding a horse.	0.000	train	A humankind is opening angstrom a box package containing earphone headphones .	A char is riding a Equus_caballus horse .
118	main-captions	MSRvid	2012train	0731	none	none	A little girl plays the violin on a beach.	The girl sat on the couch to crochet.	0.000	train	A little fille girl gambol plays the violin on on angstrom a beach beach .	The young_lady ride sat on on the couch to crochet crochet .
119	main-captions	MSRvid	2012train	0735	none	none	A female applies something to he hair with her hands.	A cat is eating a slice of watermelon.	0.000	train	A distaff female lend_oneself something to He he hair with her deal hands .	type_A A purge cat equal eating a slice of watermelon .
120	main-captions	MSRvid	2012train	0741	none	none	The man is playing the wooden flute.	A little boy is vacuuming the floor.	0.000	train	The man is act_as the wooden flute .	a A little boy embody vacuuming the floor .
121	main-captions	MSRvid	2012train	0744	none	none	The men are playing soccer.	A man is riding a motorcycle.	0.000	train	The worldly_concern world are playing soccer soccer .	adenine A humankind man exist is depend_on a bike motorcycle .
122	main-captions	MSRvid	2012train	0746	none	none	A woman is running on the beach.	A dog is swimming in a pool.	0.000	train	A woman is running along on the beach beach .	antiophthalmic_factor A click dog comprise is swimming In in adenylic_acid amp pocket_billiards pool .
123	main-captions	MSRvid	2012train	0748	none	none	A man is straining pasta.	A man plays a wooden flute.	0.000	train	A human_being man embody is straining alimentary_paste .	ampere A military_man man play plays a wooden fluting fluting .
124	main-captions	images	2014	0017	none	none	A kid jumping a ledge with a bike.	A black and white cat playing with a blanket.	0	train	A A Kyd kid jumping vitamin_A a shelf ledge with angstrom a bike .	A black and Edward_White white cat playing with A deoxyadenosine_monophosphate cover blanket .
125	main-captions	images	2014	0029	none	none	A person in a blue shirt reclines near a coffee table and television.	A person stands on the motorcycle seat and pops a wheelie.	0	train	adenosine_monophosphate amp individual person Hoosier_State in a blue shirt recline reclines come_on near a chocolate coffee table and television .	A A someone fend stands on the motorbike motorcycle tush seat and bulge pops a wheelie .
126	main-captions	images	2014	0033	none	none	A pitched tent with a horse in the background.	A black and white lamb with other lambs in the background.	0	train	ampere A pitched camp tent with angstrom_unit a horse horse Hoosier_State the background .	group_A type_A fateful black and Patrick_Victor_Martindale_White white lamb lamb with former other Lamb lambs in the downplay background .
127	main-captions	images	2014	0050	none	none	A close-up, distorted photo of an empty glass Coke bottle.	A close-up picture of a desk with a computer and papers on it.	0	train	A close-up , deform pic photo of an empty-bellied empty glass Coke bottle .	adenine A close-up flick picture of A a desk with a a electronic_computer computer and newspaper_publisher papers along IT it .
128	main-captions	images	2014	0070	none	none	Black and white photo of couch with purse at one end.	a black and white photo of a cow under a tree.	0	train	melanize nigrify and tweed white photo of couch couch with purse at unrivalled one end .	a blacken and whitened white pic photo of a a cow under a shoetree tree .
129	main-captions	images	2014	0077	none	none	A black and white photo of an old train station.	A black and white photo of a motorcycle laying on the ground.	0.2	train	angstrom_unit A mordant black and white photo of an old cultivate train post station .	A opprobrious black and White_person Caucasian photo photo of type_A a motorcycle motorcycle lay laying on the ground .
130	main-captions	images	2014	0100	none	none	A living room with a dining table in the background.	A boy doing a wheelie on a plank with the beach in the background.	0	train	type_A A living board room with vitamin_A a dining tabularise in the background .	A son boy doing amp a wheelie on a plank with the beach beach in the background .
131	main-captions	images	2014	0106	none	none	A black dog stands next to materials at a construction site.	An Asian toddler girl sits next to a pot of flowers on a marble post.	0	train	A black hotdog dog stands succeeding next to fabric materials atomic_number_85 astatine a construction site .	An Asian tot toddler miss girl sits next next to amp a peck pot of blossom flowers on on amp a marble marble trade_name brand .
132	main-captions	images	2014	0116	none	none	A man sitting on the grass looking toward the sky.	The train is riding on the tracks in the snow.	0	train	angstrom_unit A human_beings sit_around sitting along on the shop grass face looking toward the flip sky .	The train is riding on the cover tracks inwards IN the snow .
133	main-captions	images	2014	0125	none	none	An orange tabby cat sleeping on the sofa.	Man wearing a bib sitting on a green couch.	0	train	An orange_tree Orange tabby true_cat cat sleeping on the sofa sofa .	Man wearing angstrom bib sitting on angstrom_unit angstrom green redact couch .
134	main-captions	images	2014	0129	none	none	The men are playing a guitar and having a drink.	There is a young boy with a red and blue jacket on feeding a sheep.	0	train	The men represent are playing group_A guitar guitar and having type_A group_A drink .	there There cost is axerophthol a young male_child with a redness red and blue jacket jacket on feeding a sheep sheep .
